Chibi Name,Category,Type,Rarity,GFICommand
Chibi-Rock Golem,License,Chibi-Pets,Common,Cheat gfi ChibiDino_RockGolem 1 0 0
Chibi-Roll Rat,License,Chibi-Pets,Common,Cheat gfi ChibiDino_MoleRat 1 0 0
Chibi-Sabertooth,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Saber 1 0 0
Chibi-Sarco,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Sarco 1 0 0
Chibi-Seeker,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Seeker 1 0 0
Chibi-Shadowmane,License,Chibi-Pets,Legendary,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Armor/Skin/ChibiDinos/PrimalItemSkin_ChibiDino_ShadowMane.PrimalItemSkin_ChibiDino_ShadowMane'"" 1 0 0"
Chibi-Shinehorn,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Shinehorn 1 0 0
Chibi-Skeletal Bronto,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Bronto_Bone 1 0 0
Chibi-Skeletal Carno,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Carnotaurus_Bone 1 0 0
Chibi-Skeletal Giga,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Gigant_Bone 1 0 0
Chibi-Skeletal Jerboa,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Jerboa_Bone 1 0 0
Chibi-Skeletal Quetzal,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Quetzal_Bone 1 0 0
Chibi-Skeletal Raptor,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Raptor_Bone 1 0 0
Chibi-Skeletal Rex,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Rex_Bone 1 0 0
Chibi-Skeletal Stego,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Stego_Bone 1 0 0
Chibi-Skeletal Trike,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Trike_Bone 1 0 0
Chibi-Skeletal Wyvern,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Wyvern_Bone 1 0 0
Chibi-Snow Owl,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_SnowOwl 1 0 0
Chibi-Spino,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Spino 1 0 0
Chibi-Spooky Bulbdog,License,Chibi-Pets,Common,cheat gfi Bulbdog_Pumpkin 1 0 0
Chibi-Spring Shinehorn,License,Chibi-Pets,Rare,cheat gfi ChibiDino_SpringShinehorn 1 0 0
Chibi-Stego,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Stego 1 0 0
Chibi-Straw Hat Otter,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_OtterStrawHat 1 0 0
Chibi-Stuffed Glowtail,License,Chibi-Pets,Very Rare,cheat gfi GlowtailStuffed 1 0 0
Chibi-Tapejara,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Tapejara 1 0 0
Chibi-TEK Raptor,License,Chibi-Pets,Common,Cheat gfi ChibiDino_TekRaptor 1 0 0
Chibi-Tek Stryder,License,Chibi-Pets,Legendary,cheat gfi TekStryder 1 0 0
Chibi-Terror Bird,License,Chibi-Pets,Common,Cheat gfi ChibiDino_TerrorBird 1 0 0
Chibi-The Witching Owl,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_WitchingOwl 1 0 0
Chibi-Therizino,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Therizino 1 0 0
Chibi-Thorny Dragon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_SpineyLizard 1 0 0
Chibi-Thylacoleo,License,Chibi-Pets,Uncommon,Cheat gfi chibidino_thyla 1 0 0
Chibi-Trike,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Trike 1 0 0
Chibi-Troodon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Troodon 1 0 0
Chibi-Tusoteuthis,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Tuso 1 0 0
Chibi-Unicorn,License,Chibi-Pets,Common,Cheat gfi chibidino_Unicorn 1 0 0
Chibi-Velonasaur,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Velonasaur 1 0 0
Chibi-Voidwyrm,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_VoidWyvern 1 0 0
Chibi-Vulture,License,Chibi-Pets,Common,cheat gfi Vulture 1 0 0
Chibi-Wyvern,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Wyvern 1 0 0
Chibi-X-Sabertooth,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_SaberX 1 0 0
Chibi-Yutyrannus,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Yutyrannus 1 0 0
Chibi-Zombie Wyvern,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Wyvern_Zombie 1 0 0
Chini-QueenBee,License,Chibi-Pets,Rare,cheat gfi ChibiDino_QueenBee 1 0 0
Pair-o-Saurs Chibi,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Pairosaurs_VDay 1 0 0
Teeny Tiny Titano,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Titano 1 0 0
White-Collar Kairuku,License,Chibi-Pets,Common,Cheat gfi ChibiDino_TopHatKairuku 1 0 0
